,  time,  frame,  subF,  1stSym,  symbol#,  cellId,  rnti,  ccId,  tbSize,  mcs,  rv,  SINR(dB),  corrupt,  TBler,Time, UE, CurXPos, CurYPos, CurZPos, CurXVel, CurYVel, CurZVel, CalcClosestENB, CalcClosestEnbDist, enbX, enbY, enbZ,CQI
DL, 0.0231083, 23, 1, 1, 1, 1, 1, 0, 48, 0, 0, -0.592082, 0, 0,0.1,0,98.5559,15.1116,27.8669,-6.59438,-3.85611,0.0376894,0,103.529,0,0,0,NA
DL, 0.111342, 111, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -0.64327, 0, 0,0.2,0,97.8965,14.7259,27.8707,-6.59438,-3.85611,0.0376894,0,102.846,0,0,0,3
DL, 0.211342, 211, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -2.00866, 0, 7.50511e-14,0.3,0,97.2371,14.3403,27.8745,-6.59438,-3.85611,0.0376894,0,102.165,0,0,0,3
DL, 0.311329, 311, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.644455, 0, 5.55074e-10,0.4,0,96.5776,13.9547,27.8782,-6.59438,-3.85611,0.0376894,0,101.485,0,0,0,3
DL, 0.411329, 411, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.363102, 0, 0.424046,0.5,0,95.9182,13.5691,27.882,-6.59438,-3.85611,0.0376894,0,100.806,0,0,0,4
DL, 0.511329, 511, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 2.04747, 0, 0,0.6,0,95.1452,13.5097,27.8859,-7.73034,-0.594284,0.0388614,0,100.064,0,0,0,4
DL, 0.611692, 611, 6, 1, 21, 1, 1, 0, 1079, 0, 0, -7.94122, 1, 1,0.7,0,94.3721,13.4503,27.8898,-7.73034,-0.594284,0.0388614,0,99.3219,0,0,0,4
DL, 0.711329, 711, 3, 1, 6, 1, 1, 0, 1157, 6, 0, 0.340402, 0, 0,0.8,0,93.5991,13.3908,27.8936,-7.73034,-0.594284,0.0388614,0,98.5807,0,0,0,0
DL, 0.811329, 811, 3, 1, 6, 1, 1, 0, 1157, 6, 0, -2.67928, 1, 1,0.9,0,92.8261,13.3314,27.8975,-7.73034,-0.594284,0.0388614,0,97.84,0,0,0,4
DL, 0.911342, 911, 3, 1, 9, 1, 1, 0, 1099, 4, 0, -0.780339, 0, 0,1,0,92.053,13.272,27.9014,-7.73034,-0.594284,0.0388614,0,97.0999,0,0,0,4
