Time,UE,CurXPos,CurYPos,CurZPos,CurXVel,CurYVel,CurZVel,CalcClosestENB,CalcClosestEnbDist,enbX,enbY,enbZ
0,0,99.2154,15.4972,27.8631,-6.59438,-3.85611,0.0376894,0,104.212,0,0,0
0.1,0,98.5559,15.1116,27.8669,-6.59438,-3.85611,0.0376894,0,103.529,0,0,0
0.2,0,97.8965,14.7259,27.8707,-6.59438,-3.85611,0.0376894,0,102.846,0,0,0
0.3,0,97.2371,14.3403,27.8745,-6.59438,-3.85611,0.0376894,0,102.165,0,0,0
0.4,0,96.5776,13.9547,27.8782,-6.59438,-3.85611,0.0376894,0,101.485,0,0,0
0.5,0,95.9182,13.5691,27.882,-6.59438,-3.85611,0.0376894,0,100.806,0,0,0
0.6,0,95.1452,13.5097,27.8859,-7.73034,-0.594284,0.0388614,0,100.064,0,0,0
0.7,0,94.3721,13.4503,27.8898,-7.73034,-0.594284,0.0388614,0,99.3219,0,0,0
0.8,0,93.5991,13.3908,27.8936,-7.73034,-0.594284,0.0388614,0,98.5807,0,0,0
0.9,0,92.8261,13.3314,27.8975,-7.73034,-0.594284,0.0388614,0,97.84,0,0,0
1,0,92.053,13.272,27.9014,-7.73034,-0.594284,0.0388614,0,97.0999,0,0,0
